Age,Gender,Occupation,Budget Range (in INR),Smoking Preference,Pets,Cleanliness Level,Noise Tolerance,Social Habits,Sleep Schedule,Dietary Preference,Fitness Level,Work-from-Home,Preferred Locations,Commuting Distance (km)
49,Female,Professional,26000,No,No,2,Moderate,Extroverted,Night Owl,Vegetarian,3,Yes,Koramangala,2
19,Female,Student,13000,No,No,2,Moderate,Introverted,Night Owl,Vegetarian,2,No,HSR Layout,7
20,Female,Student,14000,No,No,2,Moderate,Introverted,Early Bird,Vegan,1,No,HSR Layout,2
28,Female,Professional,24000,No,No,2,Moderate,Introverted,Night Owl,Vegetarian,5,Yes,HSR Layout,3
18,Female,Student,5000,Yes,No,2,Moderate,Extroverted,Early Bird,Non-Vegetarian,1,No,Whitefield,9
34,Female,Professional,24000,Yes,No,1,Quiet,Extroverted,Night Owl,Vegetarian,3,Yes,Whitefield,3
18,Male,Student,13000,No,No,3,Moderate,Extroverted,Early Bird,Vegetarian,2,No,HSR Layout,8
21,Male,Student,11000,No,No,1,Quiet,Extroverted,Early Bird,Non-Vegetarian,2,No,HSR Layout,8
20,Female,Student,9000,No,Yes,3,Quiet,Introverted,Early Bird,Vegan,1,No,Whitefield,3
32,Male,Professional,25000,No,No,3,Quiet,Extroverted,Night Owl,Non-Vegetarian,4,Yes,Whitefield,2
22,Male,Student,10000,No,Yes,2,Quiet,Extroverted,Early Bird,Vegetarian,1,No,Sarjapur Road,6
20,Male,Student,9000,No,Yes,2,Quiet,Introverted,Flexible,Vegetarian,2,No,Sarjapur Road,5
44,Female,Professional,24000,No,No,3,Moderate,Introverted,Flexible,Vegetarian,5,No,Whitefield,4
22,Female,Student,12000,No,Yes,3,Moderate,Introverted,Night Owl,Vegetarian,1,No,Koramangala,5
20,Male,Student,9000,No,Yes,1,Moderate,Introverted,Early Bird,Non-Vegetarian,1,No,Koramangala,9
49,Male,Professional,24000,No,Yes,3,Quiet,Extroverted,Flexible,Non-Vegetarian,5,No,Sarjapur Road,9
28,Male,Professional,21000,No,Yes,3,Quiet,Extroverted,Early Bird,Vegetarian,5,No,Whitefield,6
45,Male,Professional,28000,Yes,No,3,Quiet,Introverted,Night Owl,Vegan,5,Yes,Whitefield,6
42,Female,Professional,26000,No,No,4,Moderate,Extroverted,Flexible,Non-Vegetarian,4,Yes,Sarjapur Road,4
21,Male,Student,8000,No,Yes,1,Moderate,Introverted,Flexible,Vegetarian,2,No,Sarjapur Road,5
26,Male,Professional,21000,No,No,5,Quiet,Introverted,Night Owl,Non-Vegetarian,5,Yes,Electronic City,10
19,Male,Student,12000,No,No,3,Quiet,Introverted,Early Bird,Vegetarian,1,No,Electronic City,2
39,Male,Professional,23000,No,No,5,Quiet,Extroverted,Flexible,Vegetarian,3,Yes,Electronic City,9
19,Female,Student,14000,No,No,3,Moderate,Introverted,Early Bird,Vegetarian,1,No,Whitefield,7
18,Female,Student,14000,No,No,1,Quiet,Extroverted,Flexible,Vegetarian,2,No,Sarjapur Road,8
35,Male,Professional,28000,No,Yes,4,Loud,Introverted,Early Bird,Vegetarian,5,No,Electronic City,5
43,Female,Professional,25000,No,No,4,Quiet,Extroverted,Early Bird,Vegetarian,5,Yes,HSR Layout,9
20,Female,Student,9000,No,Yes,2,Quiet,Introverted,Flexible,Vegetarian,2,No,Sarjapur Road,3
19,Male,Student,14000,No,No,2,Moderate,Extroverted,Early Bird,Non-Vegetarian,2,No,Electronic City,2
19,Male,Student,14000,No,No,3,Moderate,Introverted,Flexible,Vegetarian,2,No,Whitefield,2
21,Male,Student,12000,No,No,3,Quiet,Introverted,Night Owl,Non-Vegetarian,1,No,Koramangala,2
34,Female,Professional,27000,Yes,No,2,Quiet,Introverted,Early Bird,Non-Vegetarian,3,Yes,Electronic City,5
40,Male,Professional,23000,No,No,3,Moderate,Introverted,Flexible,Vegetarian,5,No,Whitefield,8
37,Female,Professional,28000,No,Yes,5,Moderate,Extroverted,Night Owl,Non-Vegetarian,3,No,HSR Layout,7
21,Female,Student,12000,No,No,1,Moderate,Introverted,Night Owl,Vegetarian,3,No,Electronic City,4
22,Male,Student,6000,No,No,3,Quiet,Introverted,Night Owl,Non-Vegetarian,1,No,HSR Layout,9
19,Female,Student,15000,No,No,1,Quiet,Extroverted,Night Owl,Non-Vegetarian,2,No,Sarjapur Road,2
22,Female,Student,14000,No,No,1,Quiet,Extroverted,Early Bird,Vegetarian,2,No,Sarjapur Road,6
22,Female,Student,12000,No,No,1,Moderate,Extroverted,Flexible,Non-Vegetarian,2,No,HSR Layout,5
22,Male,Student,7000,Yes,Yes,1,Quiet,Introverted,Early Bird,Non-Vegetarian,2,No,HSR Layout,5
29,Female,Professional,27000,Yes,No,4,Quiet,Extroverted,Early Bird,Non-Vegetarian,4,No,Whitefield,1
20,Female,Student,6000,No,No,2,Quiet,Introverted,Night Owl,Vegetarian,3,No,Sarjapur Road,3
18,Female,Student,13000,No,Yes,3,Moderate,Introverted,Flexible,Vegetarian,3,No,Koramangala,8
42,Female,Professional,28000,No,Yes,3,Moderate,Introverted,Early Bird,Non-Vegetarian,3,No,Sarjapur Road,7
19,Female,Student,6000,No,Yes,3,Moderate,Introverted,Flexible,Non-Vegetarian,1,No,Whitefield,4
49,Female,Professional,29000,No,Yes,5,Quiet,Extroverted,Early Bird,Vegetarian,4,No,Sarjapur Road,7
28,Male,Professional,23000,No,No,5,Quiet,Introverted,Flexible,Vegetarian,4,No,Electronic City,10
20,Male,Student,10000,Yes,No,2,Moderate,Introverted,Early Bird,Vegetarian,2,No,Electronic City,9
44,Male,Professional,30000,No,No,3,Moderate,Introverted,Flexible,Vegetarian,4,Yes,Electronic City,1
28,Female,Professional,24000,No,No,1,Moderate,Introverted,Early Bird,Non-Vegetarian,5,Yes,Koramangala,3
34,Male,Professional,29000,No,Yes,5,Quiet,Extroverted,Early Bird,Non-Vegetarian,3,No,HSR Layout,5
21,Female,Student,10000,No,Yes,3,Quiet,Extroverted,Night Owl,Non-Vegetarian,1,No,Electronic City,10
20,Female,Student,12000,No,No,2,Quiet,Introverted,Early Bird,Non-Vegetarian,1,No,Koramangala,9
20,Male,Student,8000,No,Yes,2,Moderate,Introverted,Early Bird,Vegetarian,1,No,Sarjapur Road,5
